period,Monthly – Nuclear fuels and other fuels n.e.c. – Gigawatt-hour – Germany (Eurostat/nrg_cb_pem/M.N9000.GWH.DE)
2008-01,12301.0
2008-02,12315.0
2008-03,13165.0
2008-04,11651.0
2008-05,11341.0
2008-06,9953.0
2008-07,10302.0
2008-08,12063.0
2008-09,11408.0
2008-10,11433.0
2008-11,11978.0
2008-12,12798.0
2009-01,12578.0
2009-02,11061.0
2009-03,11082.0
2009-04,10482.0
2009-05,10098.0
2009-06,9491.0
2009-07,8909.0
2009-08,10377.0
2009-09,9814.0
2009-10,10080.0
2009-11,11383.0
2009-12,12336.0
2010-01,12537.0
2010-02,11010.0
2010-03,11649.0
2010-04,10101.0
2010-05,10644.0
2010-06,9112.0
2010-07,10763.0
2010-08,11457.0
2010-09,11361.0
2010-10,9762.0
2010-11,11570.0
2010-12,13006.0
2011-01,13535.0
2011-02,11968.0
2011-03,10748.0
2011-04,7643.0
2011-05,5117.0
2011-06,6356.0
2011-07,7486.0
2011-08,7982.0
2011-09,7641.0
2011-10,7301.0
2011-11,7994.0
2011-12,8470.0
2012-01,8802.0
2012-02,8421.0
2012-03,8732.0
2012-04,5795.0
2012-05,6726.0
2012-06,6708.0
2012-07,6807.0
2012-08,8559.0
2012-09,7997.0
2012-10,8546.0
2012-11,8648.0
2012-12,8439.0
2013-01,8918.0
2013-02,8131.0
2013-03,8876.0
2013-04,6952.0
2013-05,6324.0
2013-06,6596.0
2013-07,6164.0
2013-08,7074.0
2013-09,7729.0
2013-10,8238.0
2013-11,8346.0
2013-12,8779.0
2014-01,8430.0
2014-02,8007.0
2014-03,8302.0
2014-04,7334.0
2014-05,6057.0
2014-06,6644.0
2014-07,6189.0
2014-08,7343.0
2014-09,7492.0
2014-10,8784.0
2014-11,8558.0
2014-12,8659.0
2015-01,8692.0
2015-02,7926.0
2015-03,7645.0
2015-04,7214.0
2015-05,7387.0
2015-06,6680.0
2015-07,5071.0
2015-08,7055.0
2015-09,7278.0
2015-10,6704.0
2015-11,7449.0
2015-12,7666.0
2016-01,7798.0
2016-02,7204.0
2016-03,7671.0
2016-04,5111.0
2016-05,4860.0
2016-06,5959.0
2016-07,6131.0
2016-08,7000.0
2016-09,6834.0
2016-10,7801.0
2016-11,7394.0
2016-12,6275.0
2017-01,5702.864
2017-02,4537.316
2017-03,4836.597
2017-04,4754.298
2017-05,5645.533
2017-06,6343.615
2017-07,5339.723
2017-08,7089.106
2017-09,6392.128
2017-10,7362.714
2017-11,6906.722
2017-12,7244.367
2018-01,6696.348
2018-02,6093.232
2018-03,6170.145
2018-04,5170.54
2018-05,4866.151
2018-06,5774.157
2018-07,6216.572
2018-08,6613.094
2018-09,5603.204
2018-10,5750.399
2018-11,6451.267
2018-12,6869.024
2019-01,6815.494
2019-02,6192.543
2019-03,6710.874
2019-04,5683.884
2019-05,4615.676
2019-06,4565.842
2019-07,5430.178
2019-08,5470.171
2019-09,5790.504
2019-10,6742.372
2019-11,6453.344
2019-12,6521.292
2020-01,5810.884
2020-02,5165.336
2020-03,5401.548
2020-04,4724.67
2020-05,4286.108
2020-06,4658.018
2020-07,4229.395
2020-08,5590.203
2020-09,5290.334
2020-10,5129.901
2020-11,4787.898
2020-12,5842.473
2021-01,5925.936
2021-02,5369.449
2021-03,5503.866
2021-04,5147.874
2021-05,5279.611
2021-06,4944.05
2021-07,5517.204
2021-08,5792.588
2021-09,5456.318
2021-10,5303.328
2021-11,5604.286
2021-12,5599.759
2022-01,2900.984
2022-02,2690.747
2022-03,2968.431
2022-04,2860.039
2022-05,2236.43
2022-06,2166.173
2022-07,2920.14
2022-08,2936.121
2022-09,2887.955
2022-10,2664.503
2022-11,2831.688
2022-12,2702.198
2023-01,1726.606
2023-02,1899.468
2023-03,2131.869
2023-04,965.065
2023-05,0.0
2023-06,0.0
2023-07,0.0
2023-08,0.0
2023-09,0.0
2023-10,0.0
2023-11,0.0
2023-12,0.0
2024-01,0.0
2024-02,0.0
2024-03,0.0
2024-04,0.0
2024-05,0.0
2024-06,0.0
2024-07,0.0
2024-08,0.0
2024-09,0.0
2024-10,0.0
2024-11,0.0
2024-12,0.0
2025-01,0.0
2025-02,0.0
2025-03,0.0
2025-04,0.0
2025-05,0.0
2025-06,0.0
2025-07,0.0
2025-08,0.0
2025-09,0.0
2025-10,0.0
