Period,Nuclear_Generation_GWh,Renewable_Generation_GWh,Price_EUR_per_KWH
2000,415160.0,67830.0,0.087
2001,421080.0,76090.0,0.0867
2002,436760.0,62690.0,0.0875
2003,441070.0,61470.0,0.08545
2004,448240.0,62420.0,0.08549999999999999
2005,451530.0,54980.0,0.0855
2006,450190.0,60910.0,0.08609999999999998
2007,439730.0,64300.0,0.08590000000000002
2008,439450.0,72330.0,0.08449999999999999
2009,409740.0,68150.0,0.086
2010,428520.0,76680.0,0.091007946
2011,442390.0,66020.0,0.094989709
2012,425410.0,85250.0,0.095084784
2013,423680.0,99430.0,0.09900610500000001
2014,436480.0,94030.0,0.10164519600000001
2015,437430.0,91840.0,0.10617764099999999
2016,403200.0,99000.0,0.10504216499999999
2017,398360.0,91910.0,0.10596100699999998
2018,412940.0,113850.0,0.10996296
2019,399010.0,112900.0,0.11514757199999999
2020,353830.0,125030.0,0.12376416600000002
2021,379360.0,122100.0,0.128478965
2022,294730.0,113170.0,0.15899054799999998
2023,338200.0,137060.0,0.195929372
2024,380450.0,150240.0,0.21521
