Period,Nuclear_Generation_GWh,Renewable_Generation_GWh,Price_EUR_per_KWH
2000,169610.0,35410.0,0.1129
2001,171300.0,37880.0,0.1191
2002,164840.0,44490.0,0.12400000000000001
2003,165060.0,46670.0,0.13399999999999998
2004,167070.0,57970.0,0.1372
2005,163050.0,63430.0,0.14739999999999998
2006,167270.0,72560.0,0.15230000000000002
2007,140530.0,89440.0,0.16140000000000002
2008,148490.0,94370.0,0.1354
2009,134930.0,96080.0,0.138
2010,140560.0,105410.0,0.13755
2011,107970.0,124430.0,0.14005
2012,99460.0,143400.0,0.14365
2013,97290.0,151950.0,0.1491
2014,97130.0,161930.0,0.14375
2015,91790.0,188140.0,0.1429
2016,84630.0,189130.0,0.13849999999999998
2017,76320.0,215680.0,0.1386
2018,76000.0,222930.0,0.13785
2019,75070.0,241170.0,0.13969999999999996
2020,64379.99999999999,251490.0,0.14404999999999998
2021,69130.0,232500.0,0.15790000000000004
2022,34710.0,251540.0,0.21159999999999998
2023,7220.0,274070.0,0.29275
2024,0.0,287830.0,0.28011
